estado,nombre,periodo,partido
Nuevo León,Manuel Florentino González Flores,1 de enero de 2018 - 2 de julio de 2018,Independiente
Nuevo León,Jaime Heliodoro Rodríguez Calderón,2 de julio de 2018 - 3 de octubre de 2021,Independiente
Nuevo León,Samuel Alejandro García Sepúlveda,4 de octubre de 2021 - 1 de diciembre de 2023,Movimiento Ciudadano
Nuevo León,Luis Enrique Orozco Suárez,2 de diciembre de 2023 - 4 de diciembre de 2023,Independiente
Nuevo León,Samuel Alejandro García Sepúlveda,Desde el 4 de diciembre de 2023,Movimiento Ciudadano
Oaxaca,Diódoro Carrasco Altamirano (1954),1 de diciembre de 1992 - 30 de noviembre de 1998,Partido Revolucionario Institucional
Oaxaca,José Murat Casab (1949),1 de diciembre de 1998 - 30 de noviembre de 2004,Partido Revolucionario Institucional
Oaxaca,Ulises Ruiz Ortiz (1958),1 de diciembre de 2004 - 30 de noviembre de 2010,Partido Revolucionario Institucional
Oaxaca,Gabino Cué Monteagudo (1966),1 de diciembre de 2010 - 30 de noviembre de 2016,Movimiento Ciudadano
Oaxaca,Alejandro Murat Hinojosa (1975),1 de diciembre de 2016 - 30 de noviembre de 2022,Partido Revolucionario Institucional
Oaxaca,Salomón Jara Cruz (1959),Desde el 1 de diciembre de 2022,Movimiento de Regeneración Nacional
Puebla,Manuel Bartlett Díaz,1 de febrero de 1993 - 31 de enero de 1999,Partido Revolucionario Institucional
Puebla,Melquíades Morales Flores,1 de febrero de 1999 - 31 de enero de 2005,Partido Revolucionario Institucional
Puebla,Mario Marín Torres,1 de febrero de 2005 - 31 de enero de 2011,Partido Revolucionario Institucional
Puebla,Rafael Moreno Valle Rosas,1 de febrero de 2011 - 31 de enero de 2017,Partido Acción Nacional
Puebla,José Antonio Gali Fayad,1 de febrero de 2017 - 13 de diciembre de 2018,Partido Acción Nacional
Puebla,Martha Érika Alonso,14 de diciembre de 2018 - 24 de diciembre de 2018,Partido Acción Nacional
Puebla,Jesús Rodríguez Almeida,24 de diciembre de 2018 - 21 de enero de 2019,Partido Acción Nacional
Puebla,Guillermo Pacheco Pulido,21 de enero de 2019 - 31 de julio de 2019,Partido Revolucionario Institucional
Puebla,Miguel Barbosa Huerta,1 de agosto de 2019 - 13 de diciembre de 2022,Movimiento de Regeneración Nacional
Puebla,Ana Lucía Hill Mayoral,13 de diciembre de 2022 - 15 de diciembre de 2022,Movimiento de Regeneración Nacional
Puebla,Sergio Salomón Céspedes,15 de diciembre de 2022 - 13 de diciembre de 2024,Movimiento de Regeneración Nacional
Puebla,Alejandro Armenta Mier,Desde el 14 de diciembre de 2024,Movimiento de Regeneración Nacional
Querétaro,Enrique Burgos García,1 de octubre de 1991 - 1 de octubre de 1997,Partido Revolucionario Institucional
Querétaro,Ignacio Loyola Vera,1 de octubre de 1997 - 1 de octubre de 2003,Partido Acción Nacional
Querétaro,Francisco Garrido Patrón,1 de octubre de 2003 - 1 de octubre de 2009,Partido Acción Nacional
Querétaro,José Calzada Rovirosa,1 de octubre de 2009 - 27 de agosto de 2015,Partido Revolucionario Institucional
Querétaro,Jorge López Portillo Tostado,27 de agosto de 2015 - 30 de septiembre de 2015,Partido Revolucionario Institucional
Querétaro,Francisco Domínguez Servién,1 de octubre de 2015 - 30 de septiembre de 2021,Partido Acción Nacional
Querétaro,Mauricio Kuri González,Desde el 1 de octubre de 2021,Partido Acción Nacional
San Luis Potosí,Fausto Zapata Loredo (1940-2014),26 de septiembre de 1991 - 9 de octubre de 1991,Partido Revolucionario Institucional
San Luis Potosí,Gonzalo Martínez Corbalá (1928-2017),10 de octubre de 1991 - 18 de octubre de 1992,Partido Revolucionario Institucional
San Luis Potosí,Teófilo Torres Corzo (1946-2023),18 de octubre de 1992 - 17 de mayo de 1993,Partido Revolucionario Institucional
San Luis Potosí,Horacio Sánchez Unzueta (1949-2024),18 de mayo de 1993 - 5 de septiembre de 1997,Partido Revolucionario Institucional
San Luis Potosí,Fernando Silva Nieto (1950),26 de septiembre de 1997 - 25 de septiembre de 2003,Partido Revolucionario Institucional
San Luis Potosí,Jesús Marcelo de los Santos Fraga (1940),26 de septiembre de 2003 - 25 de septiembre de 2009,Partido Acción Nacional
San Luis Potosí,Fernando Toranzo Fernández (1950),26 de septiembre de 2009 - 25 de septiembre de 2015,Partido Revolucionario Institucional
San Luis Potosí,Juan Manuel Carreras López (1962),26 de septiembre de 2015 - 25 de septiembre de 2021,Partido Revolucionario Institucional
San Luis Potosí,Ricardo Gallardo Cardona (1980),Desde el 26 de septiembre de 2021,Partido Verde Ecologista de México
Sinaloa,Renato Vega Alvarado,1 de enero de 1993 - 31 de diciembre de 1998,Partido Revolucionario Institucional
Sinaloa,Juan Sigfrido Millán Lizárraga,1 de enero de 1999 - 31 de diciembre de 2004,Partido Revolucionario Institucional
Sinaloa,Jesús Alberto Aguilar Padilla,1 de enero de 2005 - 31 de diciembre de 2010,Partido Revolucionario Institucional
Sinaloa,Mario López Valdez,1 de enero de 2011 - 31 de diciembre de 2016,Partido Acción Nacional
Sinaloa,Quirino Ordaz Coppel,1 de enero de 2017 - 31 de octubre de 2021,Partido Revolucionario Institucional
Sinaloa,Rubén Rocha Moya,1 de noviembre de 2021 - 2 de mayo de 2026,Movimiento de Regeneración Nacional
Sinaloa,Yeraldine Bonilla Valverde,Desde el 2 de mayo de 2026,Movimiento de Regeneración Nacional
Sonora,Mario Morúa Johnson,13 de septiembre de 1991 - 22 de octubre de 1991,Partido Revolucionario Institucional
Sonora,Manlio Fabio Beltrones,22 de octubre de 1991 - 12 de septiembre de 1997,Partido Revolucionario Institucional
Sonora,Armando López Nogales,13 de septiembre de 1997 - 12 de septiembre de 2003,Partido Revolucionario Institucional
Sonora,Eduardo Bours Castelo,13 de septiembre de 2003 - 12 de septiembre de 2009,Partido Revolucionario Institucional
Sonora,Guillermo Padrés Elías,13 de septiembre de 2009 - 12 de septiembre de 2015,Partido Acción Nacional
Sonora,Claudia Pavlovich Arellano,13 de septiembre de 2015 - 12 de septiembre de 2021,Partido Revolucionario Institucional
Sonora,Alfonso Durazo Montaño,Desde el 13 de septiembre de 2021,Movimiento de Regeneración Nacional
Tabasco,Manuel Gurría Ordóñez,28 de enero de 1992 - 31 de diciembre de 1994,Partido Revolucionario Institucional
Tabasco,Roberto Madrazo Pintado,1 de enero de 1995 - 14 de junio de 1999,Partido Revolucionario Institucional
Tabasco,Víctor Manuel Barceló Rodríguez,14 de junio de 1999 - 7 de diciembre de 1999,Partido Revolucionario Institucional
Tabasco,Roberto Madrazo Pintado,8 de diciembre de 1999 - 31 de diciembre de 2000,Partido Revolucionario Institucional
Tabasco,Enrique Priego Oropeza,1 de enero de 2001 - 31 de diciembre de 2001,Partido Revolucionario Institucional
Tabasco,Manuel Andrade Díaz,1 de enero de 2002 - 31 de diciembre de 2006,Partido Revolucionario Institucional
Tabasco,Andrés Granier Melo,1 de enero de 2007 - 31 de diciembre de 2012,Partido Revolucionario Institucional
Tabasco,Arturo Núñez Jiménez,1 de enero de 2013 - 31 de diciembre de 2018,Partido de la Revolución Democrática
Tabasco,Adán Augusto López Hernández,1 de enero de 2019 - 26 de agosto de 2021,Movimiento de Regeneración Nacional
Tabasco,Carlos Manuel Merino Campos,26 de agosto de 2021 - 1 de octubre de 2024,Movimiento de Regeneración Nacional
